2025-08-08 16:03:24,824 [INFO] Scraped https://neetcode.io/problems/duplicate-integer?list=neetcode150 | DSA: 4. Hash Set Length | TC: O(n) | SC: O(n) | Desc_len: 406
2025-08-08 16:03:25,712 [INFO] Scraped https://neetcode.io/problems/is-anagram?list=neetcode150 | DSA: 3. Hash Table (Using Array) | TC: O(n+m) | SC: O(1) | Desc_len: 406
2025-08-08 16:03:26,587 [INFO] Scraped https://neetcode.io/problems/two-integer-sum?list=neetcode150 | DSA: 4. Hash Map (One Pass) | TC: O(n) | SC: O(n) | Desc_len: 406
2025-08-08 16:03:27,388 [INFO] Scraped https://neetcode.io/problems/anagram-groups?list=neetcode150 | DSA: 2. Hash Table | TC: O(m∗n) | SC: O(m) | Desc_len: 406
2025-08-08 16:03:28,256 [INFO] Scraped https://neetcode.io/problems/top-k-elements-in-list?list=neetcode150 | DSA: 3. Bucket Sort | TC: O(n) | SC: O(n) | Desc_len: 406
2025-08-08 16:03:29,032 [INFO] Scraped https://neetcode.io/problems/string-encode-and-decode?list=neetcode150 | DSA: 2. Encoding & Decoding (Optimal) | TC: O(m) | SC: O(m+n) | Desc_len: 406
2025-08-08 16:03:30,003 [INFO] Scraped https://neetcode.io/problems/products-of-array-discluding-self?list=neetcode150 | DSA: 4. Prefix & Suffix (Optimal) | TC: O(n) | SC: O(1) | Desc_len: 400
2025-08-08 16:03:30,846 [INFO] Scraped https://neetcode.io/problems/valid-sudoku?list=neetcode150 | DSA: 3. Bitmask | TC: O(n2) | SC: O(n) | Desc_len: 406
2025-08-08 16:03:31,702 [INFO] Scraped https://neetcode.io/problems/longest-consecutive-sequence?list=neetcode150 | DSA: 4. Hash Map | TC: O(n) | SC: O(n) | Desc_len: 406
2025-08-08 16:03:32,460 [INFO] Scraped https://neetcode.io/problems/is-palindrome?list=neetcode150 | DSA: 2. Two Pointers | TC: O(n) | SC: O(1) | Desc_len: 406
2025-08-08 16:03:33,306 [INFO] Scraped https://neetcode.io/problems/two-integer-sum-ii?list=neetcode150 | DSA: 4. Two Pointers | TC: O(n) | SC: O(1) | Desc_len: 406
2025-08-08 16:03:34,165 [INFO] Scraped https://neetcode.io/problems/three-integer-sum?list=neetcode150 | DSA: 3. Two Pointers | TC: O(n2) | SC: O(1) | Desc_len: 406
2025-08-08 16:03:35,076 [INFO] Scraped https://neetcode.io/problems/max-water-container?list=neetcode150 | DSA: 2. Two Pointers | TC: O(n) | SC: O(1) | Desc_len: 406
2025-08-08 16:03:35,901 [INFO] Scraped https://neetcode.io/problems/trapping-rain-water?list=neetcode150 | DSA: 4. Two Pointers | TC: O(n) | SC: O(1) | Desc_len: 406
2025-08-08 16:03:36,724 [INFO] Scraped https://neetcode.io/problems/buy-and-sell-crypto?list=neetcode150 | DSA: 3. Dynamic Programming | TC: O(n) | SC: O(1) | Desc_len: 406
2025-08-08 16:03:37,518 [INFO] Scraped https://neetcode.io/problems/longest-substring-without-duplicates?list=neetcode150 | DSA: 3. Sliding Window (Optimal) | TC: O(n) | SC: O(m) | Desc_len: 406
2025-08-08 16:03:38,427 [INFO] Scraped https://neetcode.io/problems/longest-repeating-substring-with-replacement?list=neetcode150 | DSA: 3. Sliding Window (Optimal) | TC: O(n) | SC: O(m) | Desc_len: 406
2025-08-08 16:03:39,273 [INFO] Scraped https://neetcode.io/problems/permutation-string?list=neetcode150 | DSA: 3. Sliding Window | TC: O(n) | SC: O(1) | Desc_len: 406
2025-08-08 16:03:40,150 [INFO] Scraped https://neetcode.io/problems/minimum-window-with-characters?list=neetcode150 | DSA: 2. Sliding Window | TC: O(n) | SC: O(m) | Desc_len: 406
2025-08-08 16:03:41,045 [INFO] Scraped https://neetcode.io/problems/sliding-window-maximum?list=neetcode150 | DSA: 5. Deque | TC: O(n) | SC: O(n) | Desc_len: 406
2025-08-08 16:03:41,837 [INFO] Scraped https://neetcode.io/problems/validate-parentheses?list=neetcode150 | DSA: 2. Stack | TC: O(n) | SC: O(n) | Desc_len: 406
2025-08-08 16:03:42,714 [INFO] Scraped https://neetcode.io/problems/minimum-stack?list=neetcode150 | DSA: 3. One Stack | TC: O(1) | SC: O(n) | Desc_len: 406
2025-08-08 16:03:43,543 [INFO] Scraped https://neetcode.io/problems/evaluate-reverse-polish-notation?list=neetcode150 | DSA: 4. Stack | TC: O(n) | SC: O(n) | Desc_len: 406
2025-08-08 16:03:44,362 [INFO] Scraped https://neetcode.io/problems/generate-parentheses?list=neetcode150 | DSA: 3. Dynamic Programming | TC: O(4nn) | SC: O(n) | Desc_len: 406
2025-08-08 16:03:45,265 [INFO] Scraped https://neetcode.io/problems/daily-temperatures?list=neetcode150 | DSA: 3. Dynamic Programming | TC: O(n) | SC: O(1) | Desc_len: 406
2025-08-08 16:03:46,171 [INFO] Scraped https://neetcode.io/problems/car-fleet?list=neetcode150 | DSA: 2. Iteration | TC: O(nlog⁡n) | SC: O(n) | Desc_len: 406
2025-08-08 16:03:47,019 [INFO] Scraped https://neetcode.io/problems/largest-rectangle-in-histogram?list=neetcode150 | DSA: 5. Stack (Optimal) | TC: O(n) | SC: O(n) | Desc_len: 406
2025-08-08 16:03:47,964 [INFO] Scraped https://neetcode.io/problems/binary-search?list=neetcode150 | DSA: 5. Built-In Function | TC: O(log⁡n) | SC: O(1) | Desc_len: 406
2025-08-08 16:03:48,874 [INFO] Scraped https://neetcode.io/problems/search-2d-matrix?list=neetcode150 | DSA: 4. Binary Search (One Pass) | TC: O(log⁡(m∗n) | SC: O(1) | Desc_len: 406
2025-08-08 16:03:49,814 [INFO] Scraped https://neetcode.io/problems/eating-bananas?list=neetcode150 | DSA: 2. Binary Search | TC: O(n∗log⁡m) | SC: O(1) | Desc_len: 406
2025-08-08 16:03:50,748 [INFO] Scraped https://neetcode.io/problems/find-minimum-in-rotated-sorted-array?list=neetcode150 | DSA: 3. Binary Search (Lower Bound) | TC: O(log⁡n) | SC: O(1) | Desc_len: 406
2025-08-08 16:03:51,767 [INFO] Scraped https://neetcode.io/problems/find-target-in-rotated-sorted-array?list=neetcode150 | DSA: 4. Binary Search (One Pass) | TC: O(log⁡n) | SC: O(1) | Desc_len: 406
2025-08-08 16:03:52,639 [INFO] Scraped https://neetcode.io/problems/time-based-key-value-store?list=neetcode150 | DSA: 3. Binary Search (Array) | TC: O(1) | SC: O(m∗n) | Desc_len: 406
2025-08-08 16:03:53,575 [INFO] Scraped https://neetcode.io/problems/median-of-two-sorted-arrays?list=neetcode150 | DSA: 4. Binary Search (Optimal) | TC: O(log⁡(min(n,m) | SC: O(1) | Desc_len: 406
2025-08-08 16:03:54,367 [INFO] Scraped https://neetcode.io/problems/reverse-a-linked-list?list=neetcode150 | DSA: 2. Iteration | TC: O(n) | SC: O(1) | Desc_len: 406
